grid,lambda,unlabeled,batch_size,train_acc,test_acc
grid_search_1,0.01,10,100,1.0,0.2636734693877551
grid_search_1,0.01,10,120,1.0,0.2677551020408163
grid_search_1,0.01,10,150,1.0,0.2693877551020408
grid_search_1,0.01,10,80,0.994088669950739,0.2726530612244898
grid_search_1,0.01,15,100,0.9995073891625615,0.25795918367346937
grid_search_1,0.01,15,120,1.0,0.26448979591836735
grid_search_1,0.01,15,150,1.0,0.26857142857142857
grid_search_1,0.01,15,80,0.9960591133004926,0.2693877551020408
grid_search_1,0.01,5,100,1.0,0.2897959183673469
grid_search_1,0.01,5,120,1.0,0.2506122448979592
grid_search_1,0.01,5,150,1.0,0.2506122448979592
grid_search_1,0.01,5,80,1.0,0.27755102040816326
grid_search_2,0.3,10,100,0.7600985221674876,0.22612244897959183
grid_search_2,0.3,10,120,0.8098522167487685,0.24489795918367346
grid_search_2,0.3,10,80,0.7975369458128079,0.2473469387755102
grid_search_2,0.3,15,100,0.903448275862069,0.21959183673469387
grid_search_2,0.3,15,120,0.861576354679803,0.2163265306122449
grid_search_2,0.3,15,80,0.9320197044334976,0.2530612244897959
grid_search_2,0.3,5,100,0.6591133004926109,0.23673469387755103
grid_search_2,0.3,5,120,0.6354679802955665,0.2383673469387755
grid_search_2,0.3,5,80,0.6546798029556651,0.24081632653061225
grid_search_2,0.5,10,100,0.5295566502463054,0.21551020408163266
grid_search_2,0.5,10,120,0.4876847290640394,0.2473469387755102
grid_search_2,0.5,10,80,0.5408866995073892,0.2546938775510204
grid_search_2,0.5,15,100,0.6438423645320197,0.23918367346938776
grid_search_2,0.5,15,120,0.5123152709359606,0.22693877551020408
grid_search_2,0.5,15,80,0.6226600985221675,0.2163265306122449
grid_search_2,0.5,5,100,0.4246305418719212,0.2546938775510204
grid_search_2,0.5,5,120,0.41970443349753694,0.23183673469387756
grid_search_2,0.5,5,80,0.4586206896551724,0.2506122448979592
grid_search_3,0.3,10,150,0.7487684729064039,0.24
grid_search_3,0.3,10,170,0.7630541871921183,0.2473469387755102
grid_search_3,0.3,15,150,0.8566502463054187,0.23918367346938776
grid_search_3,0.3,15,170,0.8049261083743843,0.2073469387755102
grid_search_3,0.3,5,150,0.6679802955665025,0.2310204081632653
grid_search_3,0.3,5,170,0.5945812807881773,0.2179591836734694
grid_search_3,0.5,10,150,0.5152709359605911,0.2530612244897959
grid_search_3,0.5,10,170,0.4753694581280788,0.24326530612244898
grid_search_3,0.5,15,150,0.5990147783251232,0.2473469387755102
grid_search_3,0.5,15,170,0.5113300492610837,0.24326530612244898
grid_search_3,0.5,5,150,0.4433497536945813,0.23755102040816325
grid_search_3,0.5,5,170,0.41970443349753694,0.24
grid_search_4,0.1,10,100,0.9955665024630542,0.26612244897959186
grid_search_4,0.1,10,120,1.0,0.24
grid_search_4,0.1,10,150,1.0,0.24571428571428572
grid_search_4,0.1,10,170,0.9896551724137931,0.2342857142857143
grid_search_4,0.1,10,80,0.9980295566502463,0.2620408163265306
grid_search_4,0.1,15,100,1.0,0.2653061224489796
grid_search_4,0.1,15,120,1.0,0.2693877551020408
grid_search_4,0.1,15,150,1.0,0.23020408163265307
grid_search_4,0.1,15,170,1.0,0.28
grid_search_4,0.1,15,80,0.9960591133004926,0.2677551020408163
grid_search_4,0.1,5,100,0.9788177339901478,0.24244897959183673
grid_search_4,0.1,5,120,0.9876847290640394,0.24571428571428572
grid_search_4,0.1,5,150,0.9778325123152709,0.2342857142857143
grid_search_4,0.1,5,170,0.99064039408867,0.2563265306122449
grid_search_4,0.1,5,80,0.9714285714285714,0.26612244897959186
