lambda,unlabeled_per_batch,batch_size,train_overall_acc,train_overall_rank,train_q25,train_q50,train_q75,test_overall_acc,test_overall_rank,test_q25,test_q50,test_q75
0.01,15,150,1.0,1.0,1.0,1.0,1.0,0.118,9.749,9.0,11.0,11.0
0.02,15,150,1.0,1.0,1.0,1.0,1.0,0.101,9.937,9.0,11.0,11.0
0.05,15,150,1.0,1.0,1.0,1.0,1.0,0.072,10.168,10.142,11.0,11.0
0.1,15,150,0.999,1.002,1.0,1.0,1.0,0.024,10.668,11.0,11.0,11.0
0.2,15,150,0.886,1.237,1.0,1.0,1.0,0.018,10.402,11.0,11.0,11.0
0.3,15,150,0.83,1.425,1.0,1.0,1.349,0.024,10.281,11.0,11.0,11.0
0.5,15,150,0.617,2.036,1.026,1.446,2.818,0.025,10.101,9.788,11.0,11.0
0.7,15,150,0.435,2.616,1.5,2.167,3.52,0.026,10.003,9.186,11.0,11.0
1.0,15,150,0.308,3.314,2.3,3.068,4.229,0.024,9.997,9.383,11.0,11.0
2.0,15,150,0.259,3.841,2.646,3.761,4.792,0.032,9.891,9.2,10.528,11.0
