lambda,unlabeled_per_batch,batch_size,train_overall_acc,train_overall_unique,test_overall_acc,test_containment,test_overall_rank,test_overall_unique,test_unique_q0,test_unique_q25,test_unique_q50,test_unique_q75,test_unique_q100,test_accuracy_q0,test_accuracy_q25,test_accuracy_q50,test_accuracy_q75,test_accuracy_q100
0.01,15,150,1.0,1.0,0.144,0.163,1.16,1.251,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.2,0.778
0.02,15,150,1.0,1.0,0.131,0.148,1.2,1.256,1.0,1.0,1.0,1.05,4.0,0.0,0.0,0.0,0.169,0.778
0.05,15,150,1.0,1.0,0.102,0.126,1.366,1.298,1.0,1.0,1.0,1.5,4.0,0.0,0.0,0.0,0.0,0.889
0.1,15,150,0.998,1.053,0.042,0.061,1.816,1.713,1.0,1.129,1.514,2.6,3.333,0.0,0.0,0.0,0.0,0.857
0.2,15,150,0.848,2.153,0.025,0.122,3.55,6.539,1.0,2.675,3.75,4.467,6.0,0.0,0.0,0.0,0.0,0.538
0.3,15,150,0.795,3.194,0.027,0.163,4.809,8.492,1.0,3.0,4.5,6.0,13.0,0.0,0.0,0.0,0.0,0.429
0.5,15,150,0.566,6.196,0.037,0.234,6.409,12.127,1.0,3.938,6.0,9.0,14.0,0.0,0.0,0.0,0.0,0.733
0.7,15,150,0.377,9.374,0.034,0.304,7.943,14.989,1.0,4.729,7.125,10.625,20.0,0.0,0.0,0.0,0.0,0.571
1.0,15,150,0.245,13.225,0.037,0.34,8.515,16.3,1.0,5.0,8.0,11.0,19.0,0.0,0.0,0.0,0.0,0.429
2.0,15,150,0.184,16.823,0.032,0.345,8.9,17.879,1.0,5.536,8.0,11.917,22.0,0.0,0.0,0.0,0.0,0.4
