,gene,score_001_15,score_005_50,rank_1,rank_2
0,Igfbp5,0.0019152914,0.002997562,921.0,842.0
1,Psca,0.0022348433,0.0028110633,819.0,897.0
2,Spink1,0.005283762,0.010176313,45.0,17.0
3,Fgb,0.006005756,0.007913286,27.0,43.0
4,Mmp3,0.0012758789,0.0023341833,1150.0,1006.0
5,Kng1,0.01132895,0.014774484,2.0,3.0
6,Ccl2,0.0034714823,0.004448788,389.0,520.0
7,Saa3,0.0008128,0.0010856325,1372.0,1375.0
8,Krt18,0.0030661342,0.0040988685,539.0,604.0
9,Alb,0.0010907329,0.0014792155,1240.0,1247.0
10,Serpina3n,0.0028357005,0.0037418453,614.0,679.0
11,Cdkn1c,0.0058140443,0.007394039,31.0,59.0
12,Hp,0.0014457607,0.0021228462,1081.0,1063.0
13,Grem1,0.0072470363,0.00802229,10.0,42.0
14,Rbp2,0.0008821373,0.0011598144,1344.0,1346.0
15,Ifit1,0.00085117074,0.0013048158,1354.0,1297.0
16,Acta1,0.0053367233,0.006721908,41.0,87.0
17,Bex1,0.0018492976,0.0031106474,942.0,822.0
18,Crip1,0.0033966217,0.004814089,411.0,414.0
19,Isg15,0.0012538736,0.0019819913,1162.0,1104.0
20,Elobl,0.0006289037,0.0009042219,1477.0,1453.0
21,Hdc,0.0007344389,0.0013208868,1410.0,1292.0
22,Clu,0.004535383,0.0056935716,93.0,229.0
23,Apod,0.0016214625,0.0020147513,1017.0,1096.0
24,Serpina1b,0.0015334693,0.0019933244,1053.0,1103.0
25,Spp1,0.004854165,0.006353718,68.0,122.0
26,Apoa1,0.015177803,0.021368206,1.0,1.0
27,Areg,0.0029518434,0.00385707,573.0,656.0
28,Col10a1,0.007121014,0.007330915,13.0,61.0
29,Cxcl5,0.00055539195,0.0007958306,1526.0,1501.0
30,Mest,0.007327014,0.0077927113,9.0,45.0
31,Actg2,0.00521305,0.00778594,47.0,46.0
32,Ifitm1,0.0042975233,0.0070320712,134.0,71.0
33,Nupr1,0.008216813,0.011936729,6.0,9.0
34,Ccl5,0.00091113313,0.0006958635,1331.0,1549.0
35,Crabp1,0.00780879,0.0133994855,8.0,4.0
36,Cxcl15,0.0008778969,0.001097386,1346.0,1373.0
37,Ahsg,0.0016245336,0.0023241213,1015.0,1009.0
38,Tnnt3,0.0011384507,0.0017480532,1218.0,1152.0
39,Cxcl10,0.00075191766,0.00086967065,1395.0,1474.0
40,S100a7a,0.0036702761,0.0041011977,321.0,603.0
41,Ptx3,0.0032695276,0.0045537637,456.0,489.0
42,Igfbp2,0.005754861,0.007093855,32.0,70.0
43,Ctla2a,0.0067737387,0.01088724,18.0,12.0
44,Apob,0.004412846,0.0045116795,114.0,500.0
45,Ptn,0.008376179,0.014930569,5.0,2.0
46,S100g,0.0002838035,0.0003571703,1737.0,1746.0
47,Ccl7,0.003086619,0.004205635,534.0,572.0
48,Fgg,0.00021903841,0.00033385362,1798.0,1766.0
49,Fabp4,0.0023986578,0.0028374474,763.0,887.0
50,Col2a1,0.0037933735,0.005886728,271.0,192.0
51,Wfdc2,0.0005306236,0.00076789124,1548.0,1517.0
52,Krt8,0.0024444987,0.0032532318,750.0,791.0
53,Angptl7,0.0056016725,0.006122421,35.0,150.0
54,Ccl9,0.0029613979,0.0035346183,569.0,726.0
55,Ankrd1,0.0037846016,0.0051020384,277.0,345.0
56,Dlk1,0.005477562,0.010612671,37.0,13.0
57,Serpinb11,0.009852819,0.010361241,3.0,15.0
58,Cyp1a1,0.00074384717,0.00087720505,1401.0,1467.0
59,Mmp13,0.004178364,0.004791421,158.0,423.0
