Gene,Score
Cpa6,5.7169877e-06
Slco5a1,0.0
Fam135a,4.8285434e-05
Neurl3,0.0011552207
Sema4c,0.00015982034
Fam178b,2.720503e-05
Aff3,0.00018605302
Tbc1d8,0.0025877121
Rnf149,0.0030990022
Gm16894,0.00013819343
Slc40a1,0.0021641527
Nabp1,0.0018219462
Mfsd6,0.0018903756
Dnahc7a,1.1673742e-05
Stk17b,0.002887849
Hecw2,7.580137e-05
Rftn2,0.00011605504
Boll,0.0
4930558J18Rik,4.75549e-05
Raph1,0.0016275432
Plekhm3,0.00058667467
Ikzf2,0.0011129797
Fn1,7.486916e-05
Mreg,0.0002443202
Igfbp5,0.0
Tns1,0.00066230015
Cxcr1,0.0
Ptprn,6.0581686e-05
Epha4,0.0
Serpine2,0.00038433998
Pid1,0.00017082093
Slc16a14,4.8003247e-05
Gpr55,6.9814174e-05
Usp40,0.00084478455
Arl4c,0.002247792
Per2,0.00017068091
Pdcd1,1.3208815e-05
Rnf152,3.2653898e-05
Bcl2,0.0013727576
2900060B14Rik,0.0001380493
Tmem37,6.4724176e-05
Marco,3.3104687e-05
Cd55,0.0011551998
Cdk18,0.0010918183
Lax1,8.427443e-05
Btg2,0.0014348328
Ppfia4,1.9102494e-05
Ptprv,3.4190438e-05
Pkp1,3.829399e-05
5730559C18Rik,0.0
Gpr25,0.0
9230116N13Rik,6.844117e-05
Rgs2,0.0013995357
Rgs1,0.00053667143
Rgs18,0.0025334612
E330020D12Rik,0.0003832688
Atp1b1,0.00017893815
Xcl1,0.0
Gm7694,0.0014169716
Pcp4l1,0.00012138509
Nit1,6.237283e-05
Nhlh1,0.0
Pea15a,0.0016959815
Slamf8,3.512022e-05
Fcer1a,0.0011024269
Darc,3.8248567e-05
Cadm3,3.9450708e-05
AI607873,0.0005838516
Ifi204,0.0005652999
Mndal,0.00086194195
Mnda,4.981272e-05
Ifi203,0.00067107775
Gm5069,7.4096635e-05
Enah,0.0002745329
Capn2,0.0015737072
1700056E22Rik,9.37913e-05
Mark1,0.0
Tgfb2,7.7643286e-05
Vash2,7.588696e-05
Atf3,0.00082467386
Hsd11b1,0.0029320512
G0s2,0.0029501147
Prex2,0.0
Crispld1,0.0
Il1r2,0.0015936563
Il1r1,0.00072753883
Il1rl1,0.0021235307
Il18r1,0.00019988131
Cd28,0.0015965502
Icos,1.1499278e-05
Adam23,3.277565e-05
Cxcr2,0.0019423797
Pnkd,0.00023473067
Speg,3.8149978e-05
Tmem198,0.0
Sp140,0.0008505327
Itm2c,0.0029684154
4933407L21Rik,0.0
2810459M11Rik,0.0
B3gnt7,0.0003689168
3110079O15Rik,0.0
Gm19589,0.0
Espnl,3.879414e-05
Klhl30,0.0
Capn10,0.00037199573
Bok,5.0065853e-05
Tnfrsf11a,9.844249e-05
Serpinb2,0.0006192117
Serpinb10,0.0006724835
Tfcp2l1,4.2827895e-05
AA986860,3.2086195e-05
Il10,2.1011561e-05
Ctse,0.00038723403
5430435G22Rik,0.0008384469
Slc45a3,0.00018318943
Elk4,0.00011832705
Chi3l1,0.001599576
Kdm5b,0.00082799926
Phlda3,0.00071692147
Tnni1,0.0
Lad1,5.9478707e-06
Tmem9,0.0013686192
Gm19705,0.00030498824
Ptgs2,0.00021755182
Fam129a,0.0008598009
Rgs8,2.0892461e-05
Glul,0.0015832897
Serpinc1,0.0
Sell,0.005455421
Selp,0.00026217508
Olfml2b,0.0026573453
F11r,0.0012805931
Cd244,0.0014620252
Cd84,0.0020123934
