"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0019730","antimicrobial humoral response",41,0.885027847182013,1.41734793751846,3.0438968026664e-06,0.00360397381435702,0.00342678697942286,144,"tags=34%, list=7%, signal=32%","S100a9/Elane/Slpi/Ctsg/Ccl6/Camp/Pf4/Ccl9/Wfdc17/Lgals3/Ltf/Ccl3/Ccl4/Pglyrp1"
"GO:0009605","response to external stimulus",498,0.68369527072999,1.13976429657876,2.63116976836225e-06,0.00360397381435702,0.00342678697942286,364,"tags=28%, list=18%, signal=31%","Cybb/S100a8/S100a9/Lcn2/Mpo/Vim/Elane/Sirpa/Slpi/Lpl/Itgam/Mmp8/Ctsg/Anxa1/Ccl6/Ctsc/Camp/Spp1/Hp/Cfp/Lyz2/Tyrobp/Cd9/Ceacam1/Cd52/Alox5/Pf4/Mpeg1/Ccl9/Sell/Wfdc17/Pygl/Ly6a/F2r/Lgals3/S100a4/Ifitm6/Ctla2a/Myc/Ffar2/Cd177/Ltf/Itgb2l/Casp6/Ccl3/Gzmb/Clec4e/Saa3/Slc7a5/Lrg1/Csf1r/Ccl4/Rab38/F7/Mgst2/Mrc1/Mgst1/Ccr1/Tnfrsf1b/Cd33/Ear6/Pde2a/Ccr2/Pglyrp1/Klhl6/Plaur/Lsp1/Chi3l1/Tiam1/Ctss/Cebpe/C3/Id2/Zfp36/Padi4/Zmpste24/Fgl2/Mgll/Gfi1/Clec4d/Adam8/Trim30a/Txnip/Clec4n/Fcnb/Nkg7/Kit/Socs3/Fgr/Nrp1/Irf9/Itgb3/Osm/Pld4/Cd84/Cxcr2/C5ar1/Jun/Cd28/C3ar1/Cd300lf/Lgmn/Capg/Ptger4/Ubash3b/Ier3/Perp/Fpr2/Bst1/Bnip3/Satb1/F11r/Rara/Ifi203/Clec4a2/Il17ra/Pld3/AA467197/Capn2/Cd68/Adora2b/Mt2/Cd200r4/Ptger3/Irgm1/Rasgrp4/Ddt/Tnf/Clec7a/Ets1/Gbp7/Gadd45a/Pdcd1lg2/Csf1/Nfkb2/Il12a/Cd200r1/Il1rl1/Lrp1/Cd74/Cd55"
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",35,0.883329047851141,1.40937511167038,7.8501347280943e-06,0.00619637301204243,0.00589173269592762,144,"tags=31%, list=7%, signal=30%","S100a9/Elane/Ccl6/Camp/Pf4/Ccl9/Lgals3/Ltf/Ccl3/Ccl4/Pglyrp1"
"GO:0006954","inflammatory response",216,0.714545080337509,1.17994602808451,1.66155375631965e-05,0.00853037409883748,0.00811098426271931,362,"tags=35%, list=18%, signal=32%","Cybb/S100a8/S100a9/Lcn2/Elane/Sirpa/Lpl/Itgam/Mmp8/Anxa1/Ccl6/Ctsc/Camp/Hp/Tyrobp/Alox5/Pf4/Ccl9/F2r/Ctla2a/Ffar2/Itgb2l/Casp6/Ccl3/Gzmb/Saa3/Csf1r/Ccl4/Ccr1/Tnfrsf1b/Cd33/Pde2a/Ccr2/Pglyrp1/Lipa/Chi3l1/Ctss/C3/Zfp36/Ndst1/Mgll/Adam8/Trim30a/Nkg7/Hmox1/Kit/Socs3/Osm/Il1r2/Pld4/Cxcr2/C5ar1/Jun/Cd28/C3ar1/Ptger4/Ier3/Fpr2/Bst1/Il17ra/Pld3/Cd68/Adora2b/Cd200r4/Ptger3/Irgm1/Ddt/Tnf/Clec7a/Ets1/Il1rn/Csf1/Cd200r1/Il1rl1/Lrp1"
"GO:0006952","defense response",376,0.687404600704976,1.14350864693534,1.80117696343697e-05,0.00853037409883748,0.00811098426271931,364,"tags=30%, list=18%, signal=30%","Cybb/S100a8/S100a9/Lcn2/Mpo/Vim/Elane/Sirpa/Slpi/Lpl/Itgam/Ngp/Mmp8/Ctsg/Anxa1/Ccl6/Ctsc/Camp/Hp/Cfp/Lyz2/Tyrobp/Ceacam1/Alox5/Pf4/Mpeg1/Ccl9/Wfdc17/F2r/Lgals3/Ifitm6/Ctla2a/Ffar2/Cd177/Ltf/Itgb2l/Casp6/Ccl3/Gzmb/Clec4e/Saa3/Csf1r/Ccl4/Mrc1/Ccr1/Tnfrsf1b/Cd33/Ear6/Pde2a/Ccr2/Pglyrp1/Lipa/Lsp1/Chi3l1/Ctss/C3/Zfp36/Padi4/Zmpste24/Fgl2/Ndst1/Mgll/Gfi1/Clec4d/Adam8/Trim30a/Clec4n/Fcnb/Nkg7/Hmox1/Kit/Socs3/Fgr/Irf9/Osm/Il1r2/Pld4/Cd84/Cxcr2/C5ar1/Jun/Cd28/C3ar1/Cd300lf/Capg/Ptger4/Ier3/Fpr2/Bst1/Bnip3/Ifi203/Clec4a2/Il17ra/Pld3/Cd68/Adora2b/Cd200r4/Ptger3/Irgm1/Rasgrp4/Ddt/Tnf/Clec7a/Ets1/Gbp7/Il1rn/Csf1/Il12a/Cd200r1/Il1rl1/Lrp1/Cd74/Cd55"
"GO:0044419","biological process involved in interspecies interaction between organisms",335,0.688934170827083,1.14422396614202,2.35967158552559e-05,0.00931283719087433,0.00885497810778814,364,"tags=30%, list=18%, signal=30%","Cybb/S100a8/S100a9/Lcn2/Mpo/Vim/Elane/Sirpa/Slpi/Ctsb/Lpl/Mmp8/Ctsg/Anxa1/Ccl6/Camp/Hp/Cfp/Lyz2/Tyrobp/Ceacam1/Cd52/Pf4/Mpeg1/Ccl9/Wfdc17/Pygl/Ly6a/F2r/Lgals3/Ifitm6/Ffar2/Cd177/Ltf/Casp6/Ccl3/Gzmb/Clec4e/Saa3/Slc7a5/Lrg1/Csf1r/Ccl4/Mgst2/Mrc1/Mgst1/Ccr1/Tnfrsf1b/Furin/Ear6/Pde2a/Pglyrp1/Klhl6/Cebpe/C3/Zfp36/Padi4/Zmpste24/Fgl2/Bcl2l11/Gfi1/Clec4d/Adam8/Trim30a/Clec4n/Fcnb/Nkg7/Fgr/Nrp1/Irf9/Itgb3/Pld4/Cd84/C5ar1/Jun/Cd300lf/Capg/Ptger4/Ier3/Fpr2/Bnip3/Rara/Ifi203/Clec4a2/Il17ra/Pld3/AA467197/Capn2/Cd68/Mt2/Ptger3/Irgm1/Rasgrp4/Tnf/Clec7a/Gbp7/Pdcd1lg2/Csf1/Nfkb2/Il12a/Cd74/Cd55"
"GO:0006959","humoral immune response",63,0.794209818675948,1.29028086529895,8.17847668120539e-05,0.0248760954550165,0.0236530797378558,160,"tags=29%, list=8%, signal=27%","S100a9/Elane/Slpi/Ctsg/Ccl6/Camp/Cfp/Alox5/Pf4/Ccl9/Wfdc17/Lgals3/Ltf/Ccl3/Ccl4/Ccr2/Pglyrp1/C3"
"GO:0009607","response to biotic stimulus",334,0.684097217013278,1.13597594684772,8.40408630237045e-05,0.0248760954550165,0.0236530797378558,364,"tags=30%, list=18%, signal=29%","Cybb/S100a8/S100a9/Lcn2/Mpo/Vim/Elane/Sirpa/Slpi/Lpl/Mmp8/Ctsg/Anxa1/Ccl6/Camp/Hp/Cfp/Lyz2/Tyrobp/Ceacam1/Cd52/Pf4/Mpeg1/Ccl9/Wfdc17/Pygl/Ly6a/F2r/Lgals3/Ifitm6/Ffar2/Cd177/Ltf/Casp6/Ccl3/Gzmb/Clec4e/Saa3/Slc7a5/Lrg1/Csf1r/Ccl4/Mgst2/Mrc1/Mgst1/Ccr1/Tnfrsf1b/Ear6/Pde2a/Pglyrp1/Klhl6/Cebpe/C3/Zfp36/Padi4/Zmpste24/Fgl2/Bcl2l11/Gfi1/Clec4d/Adam8/Trim30a/Txnip/Clec4n/Fcnb/Nkg7/Fgr/Dach1/Irf9/Pld4/Cd84/C5ar1/Jun/Cd300lf/Capg/Ptger4/Ier3/Fpr2/Bnip3/Rara/Ifi203/Clec4a2/Il17ra/Pld3/AA467197/Capn2/Cd68/Mt2/Ptger3/Irgm1/Rasgrp4/Tnf/Clec7a/Gbp7/Pdcd1lg2/Csf1/Nfkb2/Il12a/Cd74/Cd55"
"GO:0051707","response to other organism",327,0.683067826482024,1.13386161706283,0.000189316892329623,0.0448302401036548,0.0426261929150594,364,"tags=30%, list=18%, signal=29%","Cybb/S100a8/S100a9/Lcn2/Mpo/Vim/Elane/Sirpa/Slpi/Lpl/Mmp8/Ctsg/Anxa1/Ccl6/Camp/Hp/Cfp/Lyz2/Tyrobp/Ceacam1/Cd52/Pf4/Mpeg1/Ccl9/Wfdc17/Pygl/Ly6a/F2r/Lgals3/Ifitm6/Ffar2/Cd177/Ltf/Casp6/Ccl3/Gzmb/Clec4e/Saa3/Slc7a5/Lrg1/Csf1r/Ccl4/Mgst2/Mrc1/Mgst1/Ccr1/Tnfrsf1b/Ear6/Pde2a/Pglyrp1/Klhl6/Cebpe/C3/Zfp36/Padi4/Zmpste24/Fgl2/Gfi1/Clec4d/Adam8/Trim30a/Clec4n/Fcnb/Nkg7/Fgr/Irf9/Pld4/Cd84/C5ar1/Jun/Cd300lf/Capg/Ptger4/Ier3/Fpr2/Bnip3/Rara/Ifi203/Clec4a2/Il17ra/Pld3/AA467197/Capn2/Cd68/Mt2/Ptger3/Irgm1/Rasgrp4/Tnf/Clec7a/Gbp7/Pdcd1lg2/Csf1/Nfkb2/Il12a/Cd74/Cd55"
"GO:0043207","response to external biotic stimulus",328,0.682412231236774,1.13279844270152,0.000171178975219408,0.0448302401036548,0.0426261929150594,364,"tags=30%, list=18%, signal=29%","Cybb/S100a8/S100a9/Lcn2/Mpo/Vim/Elane/Sirpa/Slpi/Lpl/Mmp8/Ctsg/Anxa1/Ccl6/Camp/Hp/Cfp/Lyz2/Tyrobp/Ceacam1/Cd52/Pf4/Mpeg1/Ccl9/Wfdc17/Pygl/Ly6a/F2r/Lgals3/Ifitm6/Ffar2/Cd177/Ltf/Casp6/Ccl3/Gzmb/Clec4e/Saa3/Slc7a5/Lrg1/Csf1r/Ccl4/Mgst2/Mrc1/Mgst1/Ccr1/Tnfrsf1b/Ear6/Pde2a/Pglyrp1/Klhl6/Cebpe/C3/Zfp36/Padi4/Zmpste24/Fgl2/Gfi1/Clec4d/Adam8/Trim30a/Clec4n/Fcnb/Nkg7/Fgr/Irf9/Pld4/Cd84/C5ar1/Jun/Cd300lf/Capg/Ptger4/Ier3/Fpr2/Bnip3/Rara/Ifi203/Clec4a2/Il17ra/Pld3/AA467197/Capn2/Cd68/Mt2/Ptger3/Irgm1/Rasgrp4/Tnf/Clec7a/Gbp7/Pdcd1lg2/Csf1/Nfkb2/Il12a/Cd74/Cd55"
