Gene,Score
Cpa6,1.2048993e-05
Slco5a1,0.0
Fam135a,6.67016e-05
Neurl3,0.0021522888
Sema4c,0.00040587614
Fam178b,4.8205988e-05
Aff3,0.00054616004
Tbc1d8,0.004348876
Rnf149,0.0053263246
Gm16894,0.00035312015
Slc40a1,0.005561767
Nabp1,0.0033761368
Mfsd6,0.0035462473
Dnahc7a,0.0001513905
Stk17b,0.0049300836
Hecw2,0.00017664953
Rftn2,0.0003200997
Boll,0.0
4930558J18Rik,0.00021794053
Raph1,0.002334093
Plekhm3,0.0010783885
Ikzf2,0.0021667778
Fn1,0.00013215031
Mreg,0.0007729908
Igfbp5,0.0
Tns1,0.0016036836
Cxcr1,0.0
Ptprn,0.000107760934
Epha4,0.0
Serpine2,0.0009625677
Pid1,0.00056013704
Slc16a14,0.00016904477
Gpr55,0.00012966913
Usp40,0.0012346731
Arl4c,0.0026369274
Per2,0.00025818133
Pdcd1,2.6194826e-05
Rnf152,3.816345e-05
Bcl2,0.0017230544
2900060B14Rik,0.0005909058
Tmem37,0.000119525575
Marco,3.55861e-05
Cd55,0.0024317899
Cdk18,0.0020092144
Lax1,0.00019742636
Btg2,0.0019139642
Ppfia4,2.9023486e-05
Ptprv,0.0001648288
Pkp1,0.00014536941
5730559C18Rik,0.0
Gpr25,0.0
9230116N13Rik,0.00022703662
Rgs2,0.0027650816
Rgs1,0.0012594633
Rgs18,0.0049296897
E330020D12Rik,0.00047000113
Atp1b1,0.00034510766
Xcl1,0.0
Gm7694,0.0020691613
Pcp4l1,0.00019643456
Nit1,0.00013257314
Nhlh1,0.0
Pea15a,0.0026088222
Slamf8,0.00041941495
Fcer1a,0.0014154672
Darc,0.00020438322
Cadm3,0.00013977442
AI607873,0.0010443161
Ifi204,0.0005684977
Mndal,0.0014636719
Mnda,2.1332877e-05
Ifi203,0.0030659584
Gm5069,0.00018923456
Enah,0.00096256286
Capn2,0.0029611941
1700056E22Rik,0.00018583014
Mark1,0.0
Tgfb2,0.00010855131
Vash2,0.0003468599
Atf3,0.0011444965
Hsd11b1,0.005469201
G0s2,0.0060591013
Prex2,0.0
Crispld1,0.0
Il1r2,0.0035102838
Il1r1,0.0015037144
Il1rl1,0.0024404386
Il18r1,0.00035943766
Cd28,0.0034036
Icos,4.8585323e-05
Adam23,0.00019404273
Cxcr2,0.0034471343
Pnkd,0.0004583894
Speg,0.00012326204
Tmem198,0.0
Sp140,0.0013610687
Itm2c,0.005400966
4933407L21Rik,0.0
2810459M11Rik,0.0
B3gnt7,0.0006199393
3110079O15Rik,0.0
Gm19589,0.0
Espnl,0.00014439902
Klhl30,0.0
Capn10,0.00047427297
Bok,0.0003705079
Tnfrsf11a,0.00018855113
Serpinb2,0.001304592
Serpinb10,0.001994466
