Gene,C,Z,Pval,FDR
Dlk1,0.3340326078317563,1431.1512,0.0,0.0
H2afy,0.47538932295342345,1178.0236,0.0,0.0
Gm15915,0.36090065031685603,1104.9182,0.0,0.0
Cd34,0.34087324960353427,1000.8512,0.0,0.0
Igfbp4,0.42894717881201966,988.0026,0.0,0.0
Car2,0.2774786516048767,859.6901,0.0,0.0
Podxl,0.31810533809753466,816.03577,0.0,0.0
Ly6d,0.17214166812867163,733.0421,0.0,0.0
Muc13,0.2790792273225899,716.9651,0.0,0.0
Car1,0.20201869201918424,663.8011,0.0,0.0
Ly6a,0.35063300147764465,652.93866,0.0,0.0
Gmpr,0.3001745315139111,648.6367,0.0,0.0
Tmem176b,0.24713498684429305,634.91705,0.0,0.0
Gata2,0.46571704338802683,634.29974,0.0,0.0
Scin,0.2803322694447993,520.3283,0.0,0.0
Hpgd,0.3233344831901876,507.6006,0.0,0.0
Klrd1,0.1661272875867044,489.04474,0.0,0.0
Tph1,0.48921600290391387,486.7872,0.0,0.0
Csf2rb2,0.5200302206705557,484.69913,0.0,0.0
Myc,0.20899841770530475,468.66528,0.0,0.0
Siglech,0.22296056917798857,459.71695,0.0,0.0
Spns2,0.21563182181754273,458.51596,0.0,0.0
Beta-s,0.23371425213458893,457.14853,0.0,0.0
H2-Eb1,0.3806107977134898,454.47195,0.0,0.0
Ccl6,0.5452604810855846,451.74652,0.0,0.0
Gzmb,0.5073661722091657,447.71133,0.0,0.0
Cpa3,0.5889829234931636,447.19897,0.0,0.0
Prnp,0.18997613307873992,442.46457,0.0,0.0
Alox5,0.32582232889078994,436.72104,0.0,0.0
Ptprcap,0.2108183051973724,434.35562,0.0,0.0
Hmga2,0.13620528270794063,420.2218,0.0,0.0
Cyp11a1,0.4003726837441881,420.15283,0.0,0.0
Prss34,0.39126326977909354,416.78928,0.0,0.0
Ccr9,0.11368313621093423,416.20328,0.0,0.0
F2r,0.44903229016246876,414.90424,0.0,0.0
Akr1c13,0.24610581886162544,405.472,0.0,0.0
Igfbp5,0.2940744000855511,401.40607,0.0,0.0
Slc18a2,0.23174936799707432,386.77313,0.0,0.0
Ptp4a3,0.21327690751574746,376.94495,0.0,0.0
H2-Aa,0.3941891809528359,375.25522,0.0,0.0
Mpo,0.3087361315663598,371.90884,0.0,0.0
Mcpt8,0.3958567173984378,366.43262,0.0,0.0
Ctsc,0.33912274071862825,363.44836,0.0,0.0
Rab38,0.194789124440614,363.04712,0.0,0.0
Rnf128,0.36322021710508207,359.11172,0.0,0.0
Cda,0.1786124244844755,348.6809,0.0,0.0
Gstm1,0.2815857391538736,342.68478,0.0,0.0
Thy1,0.1823824708687503,339.96942,0.0,0.0
Gpr56,0.18742728138454123,338.97397,0.0,0.0
Prtn3,0.30104859520387717,336.66827,0.0,0.0
Fam65a,0.17514644370455243,336.19452,0.0,0.0
Nlrp6,0.1453418030683714,335.40527,0.0,0.0
Socs2,0.1901074363732403,334.28104,0.0,0.0
Csf2rb,0.34690425056271523,326.40155,0.0,0.0
Ms4a2,0.2508627761556406,318.0429,0.0,0.0
Ctsg,0.24503256321037595,317.57227,0.0,0.0
Cma1,0.6130061681798483,317.33545,0.0,0.0
Il1rl1,0.3731959698212606,316.11145,0.0,0.0
Mmp8,0.3889001817474487,308.91977,0.0,0.0
Olfm1,0.32695706345627545,304.1249,0.0,0.0
Slc7a8,0.3074345906567383,301.12375,0.0,0.0
1100001G20Rik,0.39156481042242364,299.94443,0.0,0.0
Sirpa,0.3250572630805868,299.8905,0.0,0.0
Hdc,0.39461994077291107,298.4115,0.0,0.0
Col1a2,0.14970943360938016,295.4881,0.0,0.0
Elane,0.29053184495659184,293.8713,0.0,0.0
Cpox,0.16247952861063733,293.62625,0.0,0.0
Cox6a2,0.10442417012618924,293.10376,0.0,0.0
Lilrb4,0.33817491723066695,291.6927,0.0,0.0
Cd27,0.11352295592132428,288.6065,0.0,0.0
