"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002376","GO:0002376","immune system process",440,0.689086837738785,1.20267767749995,1.10655475806275e-07,0.000232376499193177,0.00022212630775007,252,"tags=28%, list=16%, signal=32%","Dlk1/Prtn3/Mpo/Gata2/Gzmb/Elane/Ctsg/Casp6/Ctla2a/F2r/Igtp/Irgm1/Flt3/Irf9/Slpi/Bcl11a/Tmem176b/Ccl9/Alox5/Mrc1/Sirpa/Csf2rb2/Ccr2/Spns2/Il12a/Sell/Rsad2/Gfi1/Podxl/Spp1/Iigp1/Hp/Samd9l/Il1r1/Cd34/Tnip3/Trim30a/Cfp/Cd74/Scin/Csf2rb/Oasl1/Serpina3g/Gpr171/Klhl6/Cd27/Myc/Ifit1/Clec4d/Isg15/Ctsc/Thy1/Cebpe/Id2/Cd9/Zfp36/Ptms/F11r/Ccl4/Cybb/Car2/Itgb3/Tnfsf10/Ifit2/Lcn2/Smad3/Ifi30/Pdcd1lg2/Nkx2-3/Satb1/Mef2c/Cd276/H2-Eb1/Pde4b/Pglyrp2/Havcr2/Ccr9/Nkg7/Ifi44/Tyrobp/Irf8/Gata3/Ctss/Cd83/Pglyrp1/Meis1/Ccr1/Socs1/Mmp8/Csf1r/H2-Aa/Ccl24/Tox/Vim/Il6st/Parp9/Wfdc17/Ctr9/Psap/Mpeg1/Prkcq/Klf4/Il1rl1/Oasl2/Sema7a/Ccl2/Lat2/Ffar2/Ceacam1/Isg20/Lgmn/Lgals3/Kit/Ltb/Gp9/Cd28/Pld4/Tmem98/Ccl6/S100a8/Mx1/Dusp10"
"GO:0009605","GO:0009605","response to external stimulus",408,0.682719521292074,1.19001705730107,2.04647488999752e-06,0.00214879863449739,0.00205401453432909,253,"tags=28%, list=16%, signal=32%","Ly6a/Mpo/Elane/Ctsg/Casp6/Ctla2a/F2r/Igtp/Irgm1/Flt3/Rtp4/Slpi/Ccl9/Alox5/Mrc1/Sirpa/Ccr2/Il12a/Sell/Rsad2/Gfi1/Spp1/Iigp1/Hp/Il1r1/Cd34/Tnip3/Trim30a/Cfp/Cd74/Slc22a3/Oasl1/Rab38/Klhl6/Cd200r4/Myc/Ifit1/Clec4d/Isg15/Ctsc/Id2/Cd9/Tbxa2r/Zfp36/F11r/Ccl4/Cybb/Mgst1/Itgb3/Lyz2/Ifit2/Lcn2/Cmpk2/Smad3/Pdcd1lg2/Satb1/Mef2c/Pcsk9/Cd276/H2-Eb1/Pde4b/Lsp1/Pglyrp2/Havcr2/Ccr9/Pygl/Nkg7/Ifi44/Arx/Tyrobp/Irf8/Gata3/Ctss/Cd52/Pglyrp1/Ccr1/Socs1/Socs3/Mmp8/Csf1r/H2-Aa/Plxnb2/Ccl24/Vim/Parp9/Aqp1/Csrp3/Wfdc17/Ctr9/Mpeg1/Prkcq/Klf4/Mn1/Ociad2/Gpr4/Il1rl1/Oasl2/Sema7a/Ccl2/Ffar2/Lpl/Ceacam1/Usp18/Isg20/Lgmn/Lgals3/Kit/Ptprf/Cd28/Pld4/Ccl6/S100a8/Mx1/Dusp10/Bnip3"
"GO:0042221","GO:0042221","response to chemical",476,0.673361683603297,1.17589869431782,3.11268470719906e-06,0.00217887929503934,0.00208276832864162,359,"tags=33%, list=23%, signal=37%","Ly6a/Mpo/Akr1c13/Elane/Ctsg/Casp6/F2r/Igtp/Cyp11a1/Irgm1/Gstm1/Flt3/Rtp4/Slpi/Ccl9/Alox5/Mrc1/Sirpa/Csf2rb2/Ccr2/Il12a/Sell/Mt1/Gfi1/Spp1/Slc18a2/Ly6c2/Iigp1/Socs2/Hmga2/Il1r1/Cd34/Tnip3/Tgm2/Trim30a/Ccnd1/Cd74/Cdh1/Csf2rb/Oasl1/Serpina3g/Myc/Ifit1/Isg15/Ctsc/Id2/Cd9/Tbxa2r/Zfp36/Ccl4/Car2/Mgst1/Itgb3/Ifit2/Lcn2/Cmpk2/Smad3/Pdcd1lg2/Mef2c/Pcsk9/Tcf4/H2-Eb1/Pde4b/Lsp1/Havcr2/Hmgn3/Ccr9/Vldlr/Arx/Irf8/Gata3/Cd83/Ccr1/Homer2/S100a10/Socs1/Ak4/Socs3/Fstl1/Csf1r/Tfr2/H2-Aa/Plxnb2/Ccl24/Vim/Il6st/Parp9/Aqp1/Csrp3/Rnf149/Ctr9/Psap/Dnmt3b/Prkcq/Klf4/Mn1/Akr1c12/Oasl2/Sema7a/Calcoco1/Ccl2/Ffar2/Lpl/Col4a1/Ceacam1/Usp18/Gcnt2/Lgmn/Lgals3/Kit/Ptprf/Nsg2/Ccl6/S100a8/Dusp10/Bnip3/Ptprn/Klf9/Klf2/Ifi203/Aff3/Pde2a/Anxa1/Bcl2/Apln/Xaf1/Ptp4a3/Saa3/Foxo1/Msra/F7/Tnfrsf1b/Pf4/Tmem108/Ccr5/Kdm5b/Cd69/Dab2/Il27ra/Mpl/Gbp2/Cd59a/Il6/Ets1/Ly86/C3ar1/Runx3/Camk2a/Ptger4/Ccl3/L1cam/Crip1/S100a9/Cd96/Gbp7/Flnb/Rbp1"
"GO:0070887","GO:0070887","cellular response to chemical stimulus",390,0.677369359649103,1.18031017384305,1.52193082727817e-05,0.00799013684321038,0.00763768970426175,324,"tags=32%, list=21%, signal=34%","Ly6a/Mpo/Akr1c13/Ctsg/Casp6/Igtp/Cyp11a1/Irgm1/Gstm1/Flt3/Ccl9/Alox5/Mrc1/Sirpa/Csf2rb2/Ccr2/Il12a/Sell/Mt1/Gfi1/Spp1/Slc18a2/Ly6c2/Iigp1/Socs2/Hmga2/Il1r1/Cd34/Tnip3/Tgm2/Trim30a/Ccnd1/Cd74/Cdh1/Csf2rb/Oasl1/Myc/Ifit1/Isg15/Id2/Tbxa2r/Zfp36/Ccl4/Car2/Mgst1/Itgb3/Ifit2/Lcn2/Cmpk2/Smad3/Pdcd1lg2/Mef2c/Pcsk9/Tcf4/Pde4b/Lsp1/Havcr2/Hmgn3/Ccr9/Vldlr/Irf8/Gata3/Ccr1/S100a10/Socs1/Ak4/Socs3/Fstl1/Csf1r/Tfr2/Ccl24/Vim/Il6st/Parp9/Aqp1/Csrp3/Rnf149/Ctr9/Psap/Dnmt3b/Prkcq/Klf4/Mn1/Akr1c12/Oasl2/Calcoco1/Ccl2/Ffar2/Lpl/Col4a1/Ceacam1/Gcnt2/Lgmn/Lgals3/Kit/Ptprf/Nsg2/Ccl6/S100a8/Bnip3/Ptprn/Klf9/Klf2/Ifi203/Pde2a/Anxa1/Bcl2/Apln/Ptp4a3/Saa3/Foxo1/Msra/F7/Tnfrsf1b/Pf4/Tmem108/Ccr5/Kdm5b/Cd69/Dab2/Il27ra/Mpl/Gbp2/Cd59a/Il6"
"GO:0043207","GO:0043207","response to external biotic stimulus",240,0.691958543825442,1.20369070916699,3.78851830035431e-05,0.0132598140512401,0.0126749199978521,279,"tags=35%, list=18%, signal=34%","Ly6a/Mpo/Elane/Ctsg/Casp6/F2r/Igtp/Irgm1/Flt3/Rtp4/Slpi/Ccl9/Mrc1/Sirpa/Il12a/Rsad2/Gfi1/Iigp1/Hp/Tnip3/Trim30a/Cfp/Cd74/Oasl1/Klhl6/Ifit1/Clec4d/Isg15/Tbxa2r/Zfp36/Ccl4/Cybb/Mgst1/Lyz2/Ifit2/Lcn2/Cmpk2/Smad3/Pdcd1lg2/Mef2c/H2-Eb1/Pde4b/Pglyrp2/Havcr2/Pygl/Nkg7/Ifi44/Tyrobp/Irf8/Gata3/Cd52/Pglyrp1/Ccr1/Socs1/Csf1r/H2-Aa/Ccl24/Vim/Parp9/Aqp1/Wfdc17/Ctr9/Mpeg1/Ociad2/Oasl2/Ccl2/Ffar2/Lpl/Ceacam1/Usp18/Isg20/Lgals3/Pld4/Ccl6/S100a8/Mx1/Dusp10/Bnip3/Ifi203/Pde2a/Anxa1/Trim34a/Bcl2"
"GO:0051707","GO:0051707","response to other organism",240,0.691958543825442,1.20369070916699,3.78851830035431e-05,0.0132598140512401,0.0126749199978521,279,"tags=35%, list=18%, signal=34%","Ly6a/Mpo/Elane/Ctsg/Casp6/F2r/Igtp/Irgm1/Flt3/Rtp4/Slpi/Ccl9/Mrc1/Sirpa/Il12a/Rsad2/Gfi1/Iigp1/Hp/Tnip3/Trim30a/Cfp/Cd74/Oasl1/Klhl6/Ifit1/Clec4d/Isg15/Tbxa2r/Zfp36/Ccl4/Cybb/Mgst1/Lyz2/Ifit2/Lcn2/Cmpk2/Smad3/Pdcd1lg2/Mef2c/H2-Eb1/Pde4b/Pglyrp2/Havcr2/Pygl/Nkg7/Ifi44/Tyrobp/Irf8/Gata3/Cd52/Pglyrp1/Ccr1/Socs1/Csf1r/H2-Aa/Ccl24/Vim/Parp9/Aqp1/Wfdc17/Ctr9/Mpeg1/Ociad2/Oasl2/Ccl2/Ffar2/Lpl/Ceacam1/Usp18/Isg20/Lgals3/Pld4/Ccl6/S100a8/Mx1/Dusp10/Bnip3/Ifi203/Pde2a/Anxa1/Trim34a/Bcl2"
"GO:0044419","GO:0044419","biological process involved in interspecies interaction between organisms",253,0.686840845261002,1.19459761480532,4.68652260294322e-05,0.0140595678088297,0.0134393963967109,279,"tags=34%, list=18%, signal=33%","Ly6a/Mpo/Elane/Ctsg/Casp6/F2r/Igtp/Irgm1/Flt3/Rtp4/Slpi/Ccl9/Mrc1/Sirpa/Il12a/Rsad2/Gfi1/Iigp1/Hp/Hmga2/Tnip3/Trim30a/Cfp/Cd74/Oasl1/Klhl6/Ifit1/Clec4d/Isg15/Tbxa2r/Zfp36/Ccl4/Cybb/Mgst1/Itgb3/Lyz2/Ifit2/Lcn2/Cmpk2/Smad3/Pdcd1lg2/Mef2c/H2-Eb1/Pde4b/Pglyrp2/Havcr2/Pygl/Nkg7/Ifi44/Tyrobp/Irf8/Gata3/Cd52/Pglyrp1/Ccr1/Socs1/Csf1r/H2-Aa/Spint1/Ccl24/Vim/Parp9/Aqp1/Wfdc17/Ctr9/Mpeg1/Ociad2/Oasl2/Ccl2/Ffar2/Lpl/Ceacam1/Usp18/Isg20/Lgals3/Pld4/Ccl6/S100a8/Mx1/Dusp10/Bnip3/Ifi203/Pde2a/Anxa1/Trim34a/Bcl2"
"GO:0010033","GO:0010033","response to organic substance",376,0.663872532898271,1.15656044425887,8.51689114752514e-05,0.0223568392622535,0.0213706729188558,378,"tags=36%, list=24%, signal=36%","Ly6a/Elane/Ctsg/Casp6/F2r/Igtp/Cyp11a1/Irgm1/Flt3/Slpi/Ccl9/Mrc1/Sirpa/Csf2rb2/Ccr2/Il12a/Sell/Gfi1/Spp1/Slc18a2/Ly6c2/Iigp1/Socs2/Hmga2/Il1r1/Tnip3/Tgm2/Trim30a/Ccnd1/Cd74/Cdh1/Csf2rb/Oasl1/Serpina3g/Myc/Ifit1/Isg15/Ctsc/Cd9/Tbxa2r/Zfp36/Ccl4/Car2/Mgst1/Itgb3/Ifit2/Cmpk2/Smad3/Pdcd1lg2/Mef2c/Pcsk9/Tcf4/H2-Eb1/Pde4b/Lsp1/Havcr2/Hmgn3/Irf8/Gata3/Cd83/Ccr1/Homer2/Socs1/Socs3/Fstl1/Csf1r/H2-Aa/Ccl24/Vim/Il6st/Parp9/Aqp1/Csrp3/Ctr9/Psap/Dnmt3b/Prkcq/Klf4/Mn1/Oasl2/Calcoco1/Ccl2/Ffar2/Lpl/Col4a1/Ceacam1/Usp18/Gcnt2/Lgmn/Kit/Ptprf/Nsg2/Ccl6/S100a8/Dusp10/Ptprn/Klf9/Ifi203/Aff3/Pde2a/Anxa1/Bcl2/Apln/Xaf1/Ptp4a3/Saa3/Foxo1/F7/Tnfrsf1b/Pf4/Tmem108/Ccr5/Kdm5b/Dab2/Il27ra/Mpl/Gbp2/Cd59a/Il6/Ly86/Runx3/Camk2a/Ptger4/Ccl3/S100a9/Cd96/Gbp7/Flnb/Rbp1/Plscr2/Mndal/Il1r2/Cx3cl1/Ifitm6/Ly6d"
"GO:0009607","GO:0009607","response to biotic stimulus",245,0.688173419646096,1.19707191429179,9.75774571922343e-05,0.0227680733448547,0.0217637673527007,279,"tags=34%, list=18%, signal=33%","Ly6a/Mpo/Elane/Ctsg/Casp6/F2r/Igtp/Irgm1/Flt3/Rtp4/Slpi/Ccl9/Mrc1/Sirpa/Il12a/Rsad2/Gfi1/Iigp1/Hp/Tnip3/Trim30a/Cfp/Cd74/Oasl1/Klhl6/Ifit1/Clec4d/Isg15/Tbxa2r/Zfp36/Ccl4/Cybb/Mgst1/Lyz2/Ifit2/Lcn2/Cmpk2/Smad3/Pdcd1lg2/Mef2c/H2-Eb1/Pde4b/Pglyrp2/Havcr2/Pygl/Nkg7/Ifi44/Tyrobp/Irf8/Gata3/Cd52/Pglyrp1/Ccr1/Socs1/Csf1r/H2-Aa/Ccl24/Vim/Parp9/Aqp1/Wfdc17/Ctr9/Mpeg1/Klf4/Ociad2/Oasl2/Ccl2/Ffar2/Lpl/Ceacam1/Usp18/Isg20/Lgals3/Pld4/Ccl6/S100a8/Mx1/Dusp10/Bnip3/Ifi203/Pde2a/Anxa1/Trim34a/Bcl2"
"GO:1901700","GO:1901700","response to oxygen-containing compound",205,0.691491939981752,1.20176363557866,0.000191584133564206,0.0402326680484833,0.0384579939691517,279,"tags=32%, list=18%, signal=30%","Ly6a/Mpo/Elane/Ctsg/Casp6/F2r/Igtp/Cyp11a1/Irgm1/Slpi/Mrc1/Sirpa/Il12a/Sell/Mt1/Gfi1/Spp1/Ly6c2/Socs2/Tnip3/Tgm2/Trim30a/Cdh1/Serpina3g/Tbxa2r/Zfp36/Car2/Mgst1/Lcn2/Cmpk2/Pdcd1lg2/Mef2c/Pcsk9/Pde4b/Havcr2/Hmgn3/Irf8/Homer2/Socs1/Socs3/Vim/Aqp1/Csrp3/Ctr9/Psap/Dnmt3b/Prkcq/Klf4/Mn1/Ccl2/Ffar2/Lpl/Col4a1/Ceacam1/Lgmn/Ptprf/Nsg2/S100a8/Dusp10/Bnip3/Ptprn/Klf9/Pde2a/Anxa1/Bcl2"
