Gene,C,Z,Pval,FDR
Ly6a,0.2664905956549286,84.5631,0.0,0.0
Dlk1,0.22004664109570424,60.51322,0.0,0.0
Prtn3,0.5510253262546638,54.78754,0.0,0.0
Mpo,0.523665459664849,51.689915,0.0,0.0
Gata2,0.1838264272912856,48.563732,0.0,0.0
Gzmb,0.0892979879517749,46.728737,0.0,0.0
Akr1c13,0.15696238785837693,40.835007,0.0,0.0
Elane,0.5639205340039353,40.4944,0.0,0.0
Ctsg,0.4511958164611865,40.132843,0.0,0.0
Casp6,0.17229821016589406,36.058033,5.16055491884815e-285,7.988539014376936e-283
H2afy,0.1897082585992104,35.803814,4.8167213819917684e-281,6.7784406357484155e-279
Ctla2a,0.15275033141400404,34.29154,5.246026048877307e-258,6.767373603051726e-256
Muc13,0.12759349247848117,31.408346,7.782184493550366e-217,9.266785843089205e-215
Tsc22d1,0.12788846362158945,30.565125,1.7800832458637197e-205,1.9682634747121702e-203
Pim2,0.12112592490141733,29.253271,2.0400356305326208e-188,2.105316770709665e-186
F2r,0.1114113729667799,29.127048,8.159267646107047e-187,7.894091447608568e-185
Igtp,0.10995252250825828,28.974373,6.921017960494303e-185,6.302197531085401e-183
Dok2,0.12984419567426655,28.768496,2.658852069910225e-182,2.2866127801227934e-180
Cyp11a1,0.2616248540935531,28.033539,3.1707341967979406e-173,2.583313966654322e-171
Irgm1,0.10701632854034147,26.211842,9.737793134709378e-152,7.537051886265059e-150
Mycn,0.09382546973896974,24.832386,2.0040550049123537e-136,1.477274832192535e-134
Gstm1,0.26628506018358084,24.183174,1.6723387781867265e-129,1.1767183766513874e-127
Flt3,0.10211157929739847,23.06485,5.218824885542445e-118,3.512496053399872e-116
Cpa3,0.17724385042011281,22.83292,1.080166533083459e-115,6.96707413838831e-114
S100a4,0.12249346653820892,22.498692,2.137438014610136e-112,1.3235016186465962e-110
Slc7a5,0.12357786554661315,21.347315,2.0649832073091878e-101,1.2294592326594702e-99
Irf9,0.08907913672158606,21.166492,9.725293632796985e-100,5.5758350161369376e-98
Rtp4,0.08052279710777621,20.86438,5.642425598549458e-97,3.1194552951980575e-95
Slpi,0.21241154360964443,20.818552,1.4696697582769974e-96,7.844995813147558e-95
Bcl11a,0.07932094734171874,19.862875,4.2642961433351275e-88,2.2003768099609257e-86
Ptprcap,0.09617904025115143,19.314241,2.0383851677815625e-83,1.017877496685761e-81
Fth1,0.13479679079744009,19.03068,4.750615901814274e-81,2.298110442502655e-79
Tmem176b,0.09354118526509016,18.30959,3.469552984818192e-75,1.627535763787443e-73
Ccl9,0.12979446022995184,18.168556,4.57882163312184e-74,2.084710555315473e-72
Alox5,0.11066743797279618,18.157225,5.628684124224001e-74,2.489486578371072e-72
Mrc1,0.07348048711807102,18.01156,7.905396719089535e-73,3.3993205892085e-71
F630028O10Rik,0.16197330784524636,17.942152,2.7636247969978864e-72,1.156240861014251e-70
Sirpa,0.11451722286851912,17.90996,4.930338747242773e-72,2.008464310718898e-70
Csf2rb2,0.09802771009018715,17.838463,1.7766859311776563e-71,7.052076465289775e-70
Ccr2,0.18818734056227668,17.727425,1.287826776102013e-70,4.98388962351479e-69
Dmkn,0.21431008791618836,17.685333,2.7199245150445246e-70,1.0269373534851033e-68
Spns2,0.07891845363309542,17.515018,5.502512073481244e-69,2.0280687356545157e-67
Il12a,0.07263721057921112,16.908712,1.9404763951397112e-64,6.985715022502961e-63
Sell,0.13479586342918087,16.83279,7.016496668945747e-64,2.468531100801822e-62
Mt1,0.1271119973077736,16.819027,8.85213375732958e-64,3.0451340125213755e-62
Rsad2,0.061042209285505925,16.630905,2.0812903198032976e-62,7.003994380555445e-61
Gfi1,0.20185655579670986,16.562872,6.463672884545185e-62,2.1288863032502012e-60
Podxl,0.07938301643384019,16.409725,8.147065743967698e-61,2.627428702429583e-59
Spp1,0.09923735619487377,16.401304,9.35880217442419e-61,2.956617503267071e-59
Emp1,0.07041992603975986,16.38863,1.152916572021094e-60,3.5694297069773075e-59
Fabp5,0.13323575678794922,16.3508,2.1465481218493516e-60,6.515404887495678e-59
Slc18a2,0.07831237346108044,16.252283,1.0759940132245502e-59,3.2031514085992375e-58
Ikzf2,0.10773354489404495,16.248339,1.1474975156301827e-59,3.3515587815009864e-58
Ly6c2,0.2837033469096171,16.184967,3.2192175446185478e-59,9.228423627906504e-58
Iigp1,0.05548879741454354,16.154179,5.306135325456286e-59,1.4934359061466057e-57
Olfm1,0.1363345569368601,16.015612,4.971210123985176e-58,1.3741845128444737e-56
Socs2,0.07163722583635174,15.873528,4.8326298003334847e-57,1.3124405141958305e-55
Hp,0.1807478542001946,15.831822,9.385246639577837e-57,2.5048899651838776e-55
Igfbp4,0.08861478778068616,15.753982,3.224494409329024e-56,8.460198890917507e-55
Samd9l,0.06843429131083428,15.660343,1.4118474486658421e-55,3.642566417557873e-54
Hmga2,0.056719137747399034,15.045004,1.8615585540265253e-51,4.724086297759117e-50
Slc14a1,0.05280904635030953,15.021871,2.6398239091298458e-51,6.591044211827422e-50
Il1r1,0.07235379492013604,14.957394,6.968933561209574e-51,1.7123665321829237e-49
Cd34,0.07785121146792158,14.813183,6.020072771342765e-50,1.456105101568531e-48
Gpr56,0.07651221411035111,14.758549,1.355253619557773e-49,3.22758862011605e-48
Tnip3,0.054139440418873724,14.541203,3.320778864010629e-48,7.788735881043112e-47
Eltd1,0.06990768148735854,14.34988,5.336069940580207e-47,1.23287108477883e-45
Sipa1l1,0.06746402740396464,14.062512,3.2276561640680675e-45,7.347664326437307e-44
Rasgef1b,0.05323210760647164,14.05502,3.588065054406117e-45,8.049745948145896e-44
Tgm2,0.05369084765889563,14.032226,4.949767756497642e-45,1.0946057838654786e-43
Hdc,0.13030039913997535,14.006672,7.095027110679562e-45,1.5469157700467553e-43
Trim30a,0.0653501486698681,13.975458,1.1004635893625045e-44,2.3659967171293846e-43
Ccnd1,0.07112519178827682,13.960993,1.3482558452254544e-44,2.8590411622041145e-43
Cfp,0.13627458558109035,13.778867,1.7079609613931067e-43,3.572869686806121e-42
Trp53i11,0.0548670026424247,13.705612,4.698568576140694e-43,9.697845541154392e-42
Gem,0.053964660754060444,13.315999,9.342806299139052e-41,1.9029821251404278e-39
Cd74,0.11348252570272109,13.170017,6.528392456192157e-40,1.3124612366474622e-38
Ddx58,0.05814269354045388,13.141851,9.476596618925656e-40,1.8807399443713995e-38
Hip1,0.05859956554608361,13.138654,9.885648366602959e-40,1.9370865406963773e-38
Scin,0.06859161979261605,13.086314,1.971405942914618e-39,3.814670499539786e-38
Slc22a3,0.07195559392330642,13.024982,4.4110681246150004e-39,8.430041304819778e-38
Cdh1,0.05159258858020395,12.987185,7.232557142510476e-39,1.3653656654397825e-37
Basp1,0.06038233305616905,12.956928,1.0733655775827017e-38,2.0018914627687016e-37
Csf2rb,0.09097448956648253,12.918261,1.7753897096433535e-38,3.271789607771323e-37
Sgms2,0.18924330045554705,12.89411,2.429206630027324e-38,4.424013956802704e-37
Nrgn,0.06124839702721103,12.86097,3.7317305303465636e-38,6.717114954623815e-37
Spint2,0.0655862566501479,12.588493,1.2214583532673652e-36,2.173353483744691e-35
Oasl1,0.05083703659509342,12.575886,1.4328509761639862e-36,2.520515126252103e-35
Serpina3g,0.06428991438349475,12.566432,1.6148689846664882e-36,2.8087833575996897e-35
Rab38,0.06961618626905439,12.54973,1.9943311143958396e-36,3.4302495167608443e-35
Rhoj,0.10073412725073436,12.544903,2.1196709839407258e-36,3.605769981472795e-35
Gpr171,0.0602787870270479,12.541339,2.217196805126504e-36,3.730674624278074e-35
Klhl6,0.05510824314324002,12.414044,1.09644754673682e-35,1.8250546261812873e-34
Cd200r4,0.05281010854986783,12.26127,7.309566825850608e-35,1.203745685789015e-33
Cd27,0.052274748996759504,12.153559,2.746091287600832e-34,4.4746834875853555e-33
Lipg,0.16581445796410346,12.135752,3.414003029645621e-34,5.505079885303564e-33
Myc,0.07601101353501391,12.043396,1.0506195192630932e-33,1.6766587791951217e-32
Ifit1,0.047618504538692964,11.954091,3.090305023204422e-33,4.881420587673924e-32
Clec4d,0.060934973990934276,11.826999,1.41541763962752e-32,2.21319849105394e-31
Itga2b,0.06436564429784508,11.611704,1.796909908810698e-31,2.781616538838961e-30
Isg15,0.0485804063952711,11.316396,5.44279776266014e-30,8.342030630294947e-29
Ctsc,0.1487021800999354,11.159327,3.2239070654752995e-29,4.892753075838984e-28
Thy1,0.06920500823764775,11.102613,6.091423707768383e-29,9.1548775724519e-28
Cebpe,0.1553785535247807,11.034424,1.303585873358373e-28,1.940337434575732e-27
Id2,0.0487428425100711,10.993543,2.052453993220306e-28,3.0259036014333652e-27
Cd9,0.06253492682775263,10.723481,3.9486908168483634e-27,5.766578664604969e-26
Tbxa2r,0.04060767614072301,10.675183,6.649739324101417e-27,9.62037053617663e-26
Zfp36,0.05019964224194611,10.459213,6.647750616726111e-26,9.52844255064076e-25
Ptms,0.05684108082535798,10.38472,1.455112305480686e-25,2.0665264668661483e-24
F11r,0.05617677217958969,10.36968,1.7033108832530988e-25,2.3970229520689065e-24
Ccl4,0.03061595551617557,10.357926,1.926113801541264e-25,2.6861478962034925e-24
