"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0019730","GO:0019730","antimicrobial humoral response",24,0.653435759180665,1.89772832072981,0.000801448321146373,0.30318971857606,0.294512809484689,218,"tags=50%, list=15%, signal=43%","Elane/Ctsg/S100a9/Ccl22/Ccl17/Ccl27a/Cxcl2/Adm/Wfdc2/Cxcl10/Ppbp/Slpi"
"GO:0048247","GO:0048247","lymphocyte chemotaxis",19,0.667741942547671,1.86501278532057,0.00124217192935574,0.30318971857606,0.294512809484689,158,"tags=42%, list=11%, signal=38%","Ccl5/Ccl22/Ccl17/Ccl27a/Ccl4/Cx3cl1/Cxcl10/Ccl24"
"GO:0030593","GO:0030593","neutrophil chemotaxis",36,0.556850369507486,1.76950860435106,0.00163966907784496,0.30318971857606,0.294512809484689,253,"tags=47%, list=17%, signal=40%","Ccl5/S100a9/Ccl22/S100a8/Ccl17/Cxcl2/Ccl4/Cx3cl1/Il1b/Itgb2l/Cd74/Cxcl10/Ccl24/C3ar1/Ppbp/Dpp4/Dapk2"
"GO:1990266","GO:1990266","neutrophil migration",44,0.532039255443567,1.7660095785135,0.00121569298555339,0.30318971857606,0.294512809484689,226,"tags=41%, list=16%, signal=36%","Ccl5/S100a9/Ccl22/Prtn3/S100a8/Ccl17/Cxcl2/Ccl4/Cx3cl1/Il1b/Pawr/Itgb2l/Cd74/Cxcl10/Ccl24/C3ar1/Ppbp/Dpp4"
"GO:0051345","GO:0051345","positive regulation of hydrolase activity",73,0.477146887921143,1.7381977519607,0.000793113001171393,0.30318971857606,0.294512809484689,380,"tags=44%, list=26%, signal=34%","Esr1/Ccl5/S100a9/Ccl22/Prtn3/S100a8/Ccl17/Rgs8/Efna1/Ccl4/Cx3cl1/Pawr/Slc1a1/Plekhg4/Ccl24/F2r/S1pr1/Casp6/Arhgap29/Tnfsf10/Fgfr1/Smad3/Ms4a2/Arhgap6/Ccl9/Cd40/Rasgef1b/Rgs1/Nlrp6/F11r/Hip1/Lgmn"
"GO:0097530","GO:0097530","granulocyte migration",52,0.497244018000494,1.70947552360921,0.00158331383949023,0.30318971857606,0.294512809484689,226,"tags=37%, list=16%, signal=32%","Ccl5/S100a9/Ccl22/Prtn3/S100a8/Ccl17/Cxcl2/Ccl4/Cx3cl1/Il1b/Pawr/Itgb2l/Cd74/Cxcl10/Ccl24/Epx/C3ar1/Ppbp/Dpp4"
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion",76,0.457421464456818,1.67523087956213,0.00161052504205271,0.30318971857606,0.294512809484689,226,"tags=25%, list=16%, signal=22%","Elane/Ctsg/Ccl5/Ephb4/H2-Eb1/Cx3cl1/Il1b/Cd4/Pawr/Cd59a/Cd276/H2-Aa/Gli3/Cd74/Cdh1/Havcr2/Il6/Pdcd1lg2/Dpp4"
"GO:0051336","GO:0051336","regulation of hydrolase activity",129,0.417085451536861,1.66376164831378,0.00043622829568563,0.30318971857606,0.294512809484689,346,"tags=34%, list=24%, signal=29%","Esr1/Ngp/Ccl5/S100a9/Ccl22/Prtn3/Gzma/S100a8/Ccl17/Rgs8/Efna1/Ccl4/Cx3cl1/Pawr/Slc1a1/Cmya5/Wfdc2/Plekhg4/Cdh1/Ccl24/F2r/S1pr1/Il6/Serpine1/Casp6/Slpi/Arhgap29/Tnfsf10/Oas3/Oasl1/Tgfb2/Serpinb2/Fgfr1/Aqp1/Camk2a/Smad3/Ms4a2/Arhgap6/Ccl9/Cd40/Rasgef1b/Serpinc1/Rgs1/Nlrp6"
"GO:0098542","GO:0098542","defense response to other organism",180,0.373942847924319,1.56537501265539,0.000845138682625632,0.30318971857606,0.294512809484689,317,"tags=35%, list=22%, signal=31%","Elane/Ctsg/Il10/Ccl5/S100a9/Ccl22/Irf4/Mpo/S100a8/Ccl17/Prg2/Ccl27a/H2-Eb1/Cxcl2/Ccl4/Rsad2/Cx3cl1/Il1b/Cd4/Adm/Ciita/Wfdc2/H2-Aa/Iigp1/Clec4n/Mrc1/Cd74/Cxcl10/Ifit1/Ifit2/Ccl24/Clec4a1/Prdm1/Havcr2/Epx/Il6/Igtp/Cadm1/Serpine1/Casp6/Isg15/Ppbp/Slpi/Dpp4/Trim30a/Irgm1/Ccdc92/Mx1/Cdc42ep2/Lyz2/Mx2/Rtp4/Ddx60/Oas3/Oasl1/Rnase12/Cybb/Aqp1/Ifit3/Ccl9/Il12a/Batf2/Cd40"
"GO:0006952","GO:0006952","defense response",281,0.343372614850575,1.49398145638514,0.000519539136283647,0.30318971857606,0.294512809484689,319,"tags=31%, list=22%, signal=30%","Esr1/Ngp/Elane/Ctsg/Il10/Ccl5/S100a9/Tgtp2/Camk4/Cd163/Ccl22/Irf4/Mpo/S100a8/Ccl17/Prg2/Ccl27a/Mmp8/H2-Eb1/Cxcl2/Ccl4/Rsad2/Cx3cl1/Il1b/Cd4/Adm/Ciita/Itgb2l/Slc1a1/Cd276/Wfdc2/H2-Aa/Iigp1/Clock/Tnfrsf4/Clec4n/Mrc1/Cd74/Cxcl10/Ifit1/Ifit2/Ccl24/Clec4a1/F2r/Prdm1/Havcr2/Epx/Il6/Igtp/Cadm1/Shank3/Serpine1/C3ar1/Casp6/Isg15/Ppbp/Slpi/Dpp4/Fabp4/Trim30a/Irgm1/Ccdc92/Gpr4/Mx1/Cdc42ep2/Gm5431/Lyz2/Mx2/Rtp4/Ddx60/Oas3/Oasl1/Fgfr1/Rnase12/Ctla2a/Cybb/Aqp1/Prkcq/Smad3/Il17re/Ifit3/Ms4a2/Lsp1/Ccl9/Il12a/Batf2/Cd40/Sema7a"
