Gene,C,Z,Pval,FDR
Ly6a,0.40094691832450335,134.74632,0.0,0.0
Dlk1,0.45362527417517245,116.71644,0.0,0.0
Rsad2,0.33579558643920004,98.5051,0.0,0.0
H2afy,0.4176953563481625,83.72474,0.0,0.0
Gzmb,0.17102670939321718,72.907715,0.0,0.0
Prtn3,0.6950858098571334,72.10655,0.0,0.0
Mpo,0.6988417660292476,71.57061,0.0,0.0
Ctsg,0.6481829981553665,59.776047,0.0,0.0
Irgm1,0.23370646665789158,59.21186,0.0,0.0
Akr1c13,0.24031820073901655,58.1607,0.0,0.0
Elane,0.7684661588743981,57.47767,0.0,0.0
Igtp,0.20613858394980836,55.746254,0.0,0.0
Pim2,0.20855364202766413,54.696297,0.0,0.0
Iigp1,0.17956637477323015,53.2324,0.0,0.0
Muc13,0.20462928705262196,52.511684,0.0,0.0
Ptprcap,0.23689253521932271,52.09374,0.0,0.0
Top2a,0.28111592070205893,50.463413,0.0,0.0
Mycn,0.18303819493404347,50.00109,0.0,0.0
Tsc22d1,0.1965827272434767,49.70909,0.0,0.0
Ifit1,0.1942619382209038,49.404964,0.0,0.0
Ctla2a,0.20278741452512686,48.182476,0.0,0.0
Gata2,0.18471156908533437,46.68204,0.0,0.0
Cd34,0.22682452655427826,45.788334,0.0,0.0
Fth1,0.3261138406016891,45.42013,0.0,0.0
Dmkn,0.5133924789045693,43.06246,0.0,0.0
Gstm1,0.4594638589815385,41.268166,0.0,0.0
S100a4,0.20360423689296459,40.196915,0.0,0.0
Tmem176b,0.1945484767232765,39.099514,0.0,0.0
Gem,0.18134143401733205,38.648426,0.0,0.0
Bcl11a,0.14313718799600653,38.272102,0.0,0.0
Slpi,0.37041387472542253,37.877117,0.0,0.0
Ifit2,0.1238128634184268,37.790478,0.0,0.0
Cmpk2,0.17915585452370952,37.41946,9.428874794630158e-307,4.4229994491174194e-305
Usp18,0.16649392167676252,36.542137,1.1886301417671836e-292,5.411763116045883e-291
Ctsc,0.4896347522839087,35.813667,3.38374209344706e-281,1.496580788758871e-279
Flt3,0.14021269349211135,35.759144,2.3848048143625115e-280,1.02546607017588e-278
Ccl4,0.12819195744940784,34.939102,9.478366154094885e-268,3.9655434612267254e-266
Isg15,0.15077660645369043,34.821392,5.771712253403883e-266,2.351213307439266e-264
Il1r1,0.16487687285908253,34.785755,1.997102722546063e-265,7.926961575644373e-264
Casp6,0.1543967391970697,34.111652,2.477747128543298e-255,9.588881387462564e-254
Igfbp4,0.19076690926270587,33.737602,8.124976385213122e-250,3.0676740108072956e-248
Socs2,0.13255746926410472,33.337757,5.4805816005105056e-244,2.0199857899024435e-242
Samd9l,0.14324565740162096,33.1659,1.670526546333378e-241,6.013895566800161e-240
Tnip3,0.11067957086051881,33.018066,2.2357439474328554e-239,7.865753705968318e-238
Ly6c2,0.5709979624148801,32.793232,3.6765036217839883e-236,1.264717245893692e-234
F2r,0.11544566508688496,32.311592,2.4040963321068188e-229,8.09030678717686e-228
Mt1,0.23521757163226853,32.092354,2.8182586560136764e-226,9.282264679806747e-225
Cyp11a1,0.2992025489561412,32.08345,3.751256603095074e-226,1.2097802544981614e-224
Ddx58,0.13337584053994794,31.990477,7.396430782616009e-225,2.33666833703869e-223
Olfm1,0.2971460390240533,31.939192,3.8164610379234097e-224,1.1815763373410878e-222
Cpa3,0.27273597353985557,31.794064,3.909645141160865e-222,1.1866922899052978e-220
Hp,0.3485729764715889,31.711535,5.386977210827743e-221,1.603661677377182e-219
Sell,0.23669179821906414,31.352581,4.4860015702463204e-216,1.3102510246681705e-214
Serpina3g,0.1533180895234904,31.194492,6.327015356784129e-214,1.813744402278117e-212
Slc7a5,0.18235775711382562,30.599455,6.222823814525143e-206,1.7514420481608948e-204
