"","Monocyte","Neutrophil","Undifferentiated","Other","Monocyte_proportion","Neutrophil_proportion","Undifferentiated_proportion","Other_proportion","lineage_size","entropy"
"Lineage_0",0,0,3,0,0,0,1,0,3,1
"Lineage_1",0,7,0,0,0,1,0,0,7,0
"Lineage_10",0,1,10,0,0,0.0909090909090909,0.909090909090909,0,11,0.994030211476956
"Lineage_1003",1,1,4,0,0.166666666666667,0.166666666666667,0.666666666666667,0,6,1
"Lineage_1004",0,9,3,0,0,0.75,0.25,0,12,0.543564443199596
"Lineage_101",0,0,1,0,0,0,1,0,1,1
"Lineage_1011",0,5,0,0,0,1,0,0,5,0
"Lineage_1013",0,0,2,0,0,0,1,0,2,1
"Lineage_1015",3,0,0,0,1,0,0,0,3,0
"Lineage_1017",0,0,9,0,0,0,1,0,9,1
"Lineage_102",0,0,1,2,0,0,0.333333333333333,0.666666666666667,3,NA
"Lineage_1028",2,0,4,1,0.285714285714286,0,0.571428571428571,0.142857142857143,7,NA
"Lineage_1029",0,0,1,15,0,0,0.0625,0.9375,16,NA
"Lineage_1030",0,0,0,1,0,0,0,1,1,NA
"Lineage_1036",0,0,3,0,0,0,1,0,3,1
"Lineage_1038",0,0,6,0,0,0,1,0,6,1
"Lineage_1041",1,6,10,0,0.0588235294117647,0.352941176470588,0.588235294117647,0,17,0.936667381877563
"Lineage_1043",0,5,5,0,0,0.5,0.5,0,10,0.811278124459133
"Lineage_1046",3,2,11,0,0.1875,0.125,0.6875,0,16,0.997180398894264
"Lineage_1050",0,0,4,0,0,0,1,0,4,1
"Lineage_1051",5,3,0,0,0.625,0.375,0,0,8,0.954434002924965
"Lineage_1053",7,0,0,0,1,0,0,0,7,0
"Lineage_1061",11,3,1,0,0.733333333333333,0.2,0.0666666666666667,0,15,0.783776947484701
"Lineage_1062",0,0,0,5,0,0,0,1,5,NA
"Lineage_1064",0,0,1,1,0,0,0.5,0.5,2,NA
"Lineage_1065",12,1,4,0,0.705882352941177,0.0588235294117647,0.235294117647059,0,17,0.672294817075638
"Lineage_1066",23,0,3,0,0.884615384615385,0,0.115384615384615,0,26,0.318215297683233
"Lineage_1067",0,0,6,0,0,0,1,0,6,1
"Lineage_1068",1,0,5,0,0.166666666666667,0,0.833333333333333,0,6,0.979868756651153
"Lineage_1069",0,0,1,0,0,0,1,0,1,1
"Lineage_107",0,0,7,0,0,0,1,0,7,1
"Lineage_1070",0,0,11,26,0,0,0.297297297297297,0.702702702702703,37,NA
"Lineage_1074",0,0,1,0,0,0,1,0,1,1
"Lineage_1076",6,0,9,1,0.375,0,0.5625,0.0625,16,NA
"Lineage_1077",22,0,0,0,1,0,0,0,22,0
"Lineage_1080",0,0,1,2,0,0,0.333333333333333,0.666666666666667,3,NA
"Lineage_1083",0,0,5,0,0,0,1,0,5,1
"Lineage_1085",7,0,1,0,0.875,0,0.125,0,8,0.337290066617014
"Lineage_1090",0,3,6,0,0,0.333333333333333,0.666666666666667,0,9,0.91829583405449
"Lineage_1095",1,4,0,0,0.2,0.8,0,0,5,0.721928094887362
"Lineage_1096",1,0,0,0,1,0,0,0,1,0
"Lineage_1099",0,47,0,0,0,1,0,0,47,0
"Lineage_1101",0,0,3,0,0,0,1,0,3,1
"Lineage_1103",0,0,4,0,0,0,1,0,4,1
"Lineage_1105",0,0,2,9,0,0,0.181818181818182,0.818181818181818,11,NA
"Lineage_1110",0,2,25,0,0,0.0740740740740741,0.925925925925926,0,27,0.996038361365918
"Lineage_1114",2,16,5,0,0.0869565217391304,0.695652173913043,0.217391304347826,0,23,0.713146748638492
"Lineage_1115",0,0,0,3,0,0,0,1,3,NA
"Lineage_1116",15,0,1,0,0.9375,0,0.0625,0,16,0.200622324312715
"Lineage_1117",3,0,1,0,0.75,0,0.25,0,4,0.543564443199596
"Lineage_1118",0,0,0,3,0,0,0,1,3,NA
"Lineage_1119",0,0,4,0,0,0,1,0,4,1
"Lineage_1120",0,0,0,10,0,0,0,1,10,NA
"Lineage_1129",0,0,7,0,0,0,1,0,7,1
"Lineage_113",7,0,0,0,1,0,0,0,7,0
"Lineage_1131",0,0,0,3,0,0,0,1,3,NA
"Lineage_1135",0,0,9,0,0,0,1,0,9,1
"Lineage_1136",0,2,5,0,0,0.285714285714286,0.714285714285714,0,7,0.940285958670631
"Lineage_1137",0,2,5,0,0,0.285714285714286,0.714285714285714,0,7,0.940285958670631
"Lineage_1140",0,0,0,37,0,0,0,1,37,NA
"Lineage_1141",0,0,1,0,0,0,1,0,1,1
"Lineage_1144",2,0,0,0,1,0,0,0,2,0
"Lineage_1146",0,0,4,0,0,0,1,0,4,1
"Lineage_1149",5,1,0,0,0.833333333333333,0.166666666666667,0,0,6,0.650022421648354
"Lineage_1150",0,0,1,0,0,0,1,0,1,1
"Lineage_1153",0,3,0,0,0,1,0,0,3,0
"Lineage_1157",0,0,0,5,0,0,0,1,5,NA
"Lineage_1158",0,0,1,6,0,0,0.142857142857143,0.857142857142857,7,NA
"Lineage_1162",0,0,4,0,0,0,1,0,4,1
"Lineage_1166",0,11,6,0,0,0.647058823529412,0.352941176470588,0,17,0.672294817075638
"Lineage_1170",6,0,3,0,0.666666666666667,0,0.333333333333333,0,9,0.650022421648354
"Lineage_1172",3,0,0,0,1,0,0,0,3,0
"Lineage_1173",0,0,1,2,0,0,0.333333333333333,0.666666666666667,3,NA
"Lineage_1178",3,0,0,0,1,0,0,0,3,0
"Lineage_1179",0,0,4,2,0,0,0.666666666666667,0.333333333333333,6,NA
"Lineage_118",0,9,1,0,0,0.9,0.1,0,10,0.286396957115956
"Lineage_1180",0,0,0,33,0,0,0,1,33,NA
"Lineage_1181",7,0,0,0,1,0,0,0,7,0
"Lineage_1182",3,0,0,0,1,0,0,0,3,0
"Lineage_1183",10,0,2,0,0.833333333333333,0,0.166666666666667,0,12,0.413816850303634
"Lineage_1184",0,0,11,51,0,0,0.17741935483871,0.82258064516129,62,NA
"Lineage_1185",0,0,11,0,0,0,1,0,11,1
"Lineage_1188",0,0,0,6,0,0,0,1,6,NA
"Lineage_1190",12,0,0,0,1,0,0,0,12,0
"Lineage_1192",0,0,20,0,0,0,1,0,20,1
"Lineage_1196",0,0,9,0,0,0,1,0,9,1
"Lineage_1198",3,0,0,0,1,0,0,0,3,0
"Lineage_1199",0,8,3,0,0,0.727272727272727,0.272727272727273,0,11,0.574635697837679
"Lineage_12",0,0,1,0,0,0,1,0,1,1
"Lineage_120",0,0,18,0,0,0,1,0,18,1
"Lineage_1202",6,0,9,0,0.4,0,0.6,0,15,0.881290899230693
"Lineage_1205",0,0,2,0,0,0,1,0,2,1
"Lineage_1206",1,0,0,0,1,0,0,0,1,0
"Lineage_1207",0,4,11,0,0,0.266666666666667,0.733333333333333,0,15,0.948078243593905
"Lineage_1212",0,22,0,1,0,0.956521739130435,0,0.0434782608695652,23,NA
"Lineage_1213",0,0,6,0,0,0,1,0,6,1
"Lineage_1214",0,0,2,0,0,0,1,0,2,1
"Lineage_1216",0,0,12,3,0,0,0.8,0.2,15,NA
"Lineage_1219",12,11,5,0,0.428571428571429,0.392857142857143,0.178571428571429,0,28,0.999079718180582
"Lineage_122",13,0,6,0,0.684210526315789,0,0.315789473684211,0,19,0.629249223856035
"Lineage_1220",0,0,5,0,0,0,1,0,5,1
"Lineage_1223",0,0,9,0,0,0,1,0,9,1
"Lineage_123",11,0,3,6,0.55,0,0.15,0.3,20,NA
"Lineage_1230",0,0,0,5,0,0,0,1,5,NA
"Lineage_1231",2,2,1,0,0.4,0.4,0.2,0,5,1
"Lineage_1234",0,0,4,13,0,0,0.235294117647059,0.764705882352941,17,NA
"Lineage_1237",2,1,13,0,0.125,0.0625,0.8125,0,16,0.997180398894264
"Lineage_1238",6,3,5,0,0.428571428571429,0.214285714285714,0.357142857142857,0,14,0.966618632548103
"Lineage_124",0,3,4,0,0,0.428571428571429,0.571428571428571,0,7,0.863120568566631
"Lineage_1240",7,0,0,0,1,0,0,0,7,0
"Lineage_1241",0,3,0,0,0,1,0,0,3,0
"Lineage_1242",0,0,0,10,0,0,0,1,10,NA
"Lineage_1243",0,7,1,0,0,0.875,0.125,0,8,0.337290066617014
"Lineage_1247",0,0,2,3,0,0,0.4,0.6,5,NA
"Lineage_1248",0,0,1,0,0,0,1,0,1,1
"Lineage_125",0,14,1,0,0,0.933333333333333,0.0666666666666667,0,15,0.210842300318532
"Lineage_1250",0,0,7,0,0,0,1,0,7,1
"Lineage_1252",1,4,1,0,0.166666666666667,0.666666666666667,0.166666666666667,0,6,0.811278124459133
"Lineage_1253",0,2,3,0,0,0.4,0.6,0,5,0.881290899230693
"Lineage_1255",0,2,0,0,0,1,0,0,2,0
"Lineage_1258",0,0,0,22,0,0,0,1,22,NA
"Lineage_1260",0,0,14,14,0,0,0.5,0.5,28,NA
"Lineage_1261",30,105,21,1,0.191082802547771,0.668789808917197,0.133757961783439,0.00636942675159236,157,NA
"Lineage_1262",1,1,2,0,0.25,0.25,0.5,0,4,1
"Lineage_1266",0,17,0,0,0,1,0,0,17,0
"Lineage_1270",0,0,4,0,0,0,1,0,4,1
"Lineage_1271",0,0,4,0,0,0,1,0,4,1
"Lineage_1274",0,0,1,0,0,0,1,0,1,1
"Lineage_1275",0,0,0,12,0,0,0,1,12,NA
"Lineage_1277",0,1,3,0,0,0.25,0.75,0,4,0.954434002924965
"Lineage_1278",4,0,0,0,1,0,0,0,4,0
"Lineage_1280",1,0,6,0,0.142857142857143,0,0.857142857142857,0,7,0.985228136034252
"Lineage_1284",0,7,1,0,0,0.875,0.125,0,8,0.337290066617014
"Lineage_1289",0,2,0,0,0,1,0,0,2,0
"Lineage_129",11,0,3,0,0.785714285714286,0,0.214285714285714,0,14,0.491237341824333
