,pvalue,R2
Gata2,0,0.82268191697356
Slc7a8,0,0.725669632285802
Lgals1,0,0.723435797338992
Slc3a2,0,0.716672605567483
Akr1c13,0,0.684933034349809
Gda,0,0.68225834002749
Mpp1,0,0.651629879678148
Fcer1g,0,0.650171315584171
Il1rl1,0,0.643121361876497
Gsr,0,0.641917268549587
Plac8,0,0.630697989737811
Msrb1,0,0.628961342963475
Srgn,0,0.628273189733802
Hp,0,0.624460916442994
Sgms2,0,0.615376374915719
Rps27rt,0,0.610538333729266
Sqstm1,0,0.605544197719617
Synpr,0,0.589404927926145
P2ry1,0,0.589069826519328
Serpinb1a,0,0.588066111865593
Rab27b,0,0.583314591789146
Serpina3g,0,0.576795482181754
Crip1,0,0.575171673450068
Padi2,0,0.575092859230175
Cd200r4,0,0.574547896420638
Csf2rb,0,0.573589963183421
Tmem108,0,0.57132504730254
Gsn,0,0.569236599147924
Anxa6,0,0.56741265088133
Arhgap6,0,0.566221923016159
Inpp4b,0,0.560478392622688
Tmem9,0,0.558804998949521
Ckap4,0,0.550790080998519
Slc6a9,0,0.549325870302225
Rgs18,0,0.549074688374955
Ms4a3,0,0.547974539212281
Ffar2,0,0.546543830599529
Cd200r3,0,0.544258471227768
Mgst1,0,0.541805301321266
S100a6,0,0.540021016343982
Ikzf2,0,0.540013849067837
S100a11,0,0.53387791314058
Cd44,0,0.532998799644335
Slc41a3,0,0.526406251905453
Xirp2,0,0.5260888840264
Ctla2a,0,0.522264709548919
Slc18a2,0,0.522020734111128
Prdx5,0,0.517510778294341
Itga6,0,0.51672914495991
Sun2,0,0.516468667148218
Olfml2b,0,0.51591007930662
Optc,0,0.514846695633965
Prkca,0,0.514306180550729
Gnb4,0,0.511376592714375
Cpa3,0,0.508319973534631
Spred1,0,0.507247885902832
Ptprg,0,0.506132986278046
Procr,0,0.504126682770266
Cebpb,0,0.500807224059918
Ptprcap,0,0.500486528077245
Nrip3,0,0.500052151299247
Mgst2,0,0.499181263749138
Ptp4a3,0,0.499004344680401
Igfbp7,0,0.498095579804753
Lat2,0,0.49627494319439
Anxa2,0,0.495152430655304
Id2,0,0.493448646592032
Adgra2,0,0.491389598618895
Ssmem1,0,0.491014268216643
Lilrb4a,0,0.48939586694853
Cxcl10,0,0.487749619966996
Mast4,0,0.485328834413817
Tmem123,0,0.484308016763563
Pgbd5,0,0.483822736917968
Cd52,0,0.482720407262933
Ptms,0,0.48233298053565
Lmna,0,0.480839864057404
Cdkn1a,0,0.477494945057528
Tpd52,0,0.472140864359591
Etv5,0,0.472113674670892
Gfi1b,0,0.471849625030138
Basp1,0,0.468459636832984
Adgrg1,0,0.46772649531252
1700123M08Rik,0,0.46701628473046
Perp,0,0.464190997502584
Atp1b3,0,0.462587654605185
Akr1c12,0,0.461564524305524
Pygl,0,0.46142884109018
Tpm4,0,0.461323335954254
Hgf,0,0.460771036102268
Tssk3,0,0.460703129961661
Eno1b,0,0.460634757052978
Cd300c2,0,0.460580199552241
Rgs1,0,0.460039820013515
Prtn3,0,0.458431737641248
Stxbp6,0,0.457756606418293
Plagl1,0,0.456431705773443
Spns2,0,0.454516823655397
Klhdc9,0,0.4542382265501
Tbc1d8,0,0.454208112466525
H2afy,0,0.453653771829788
Set,0,0.45353962219388
Cttn,0,0.45286455258901
Klf6,0,0.452615442069031
Emilin2,0,0.452345632514617
Grn,0,0.449766849420897
Ccl3,0,0.448116472809941
Fam198b,0,0.446884559254894
Ndst2,0,0.44681702021443
Fyn,0,0.445922743328314
Mboat1,0,0.445355733571223
Tln2,0,0.445028085991822
Slc7a5,0,0.442960013351767
Lipg,0,0.441363077678812
P2ry14,0,0.440757416849527
Mcemp1,0,0.440265949558385
Hsd11b1,0,0.439625226135358
Abhd6,0,0.438757537453515
Hoxb7,0,0.438178873088433
Mmp3,0,0.438031715533362
Btc,0,0.437076351347391
Adgre5,0,0.436781606553476
Rab38,0,0.436482043640023
Gm13645,0,0.434531682440457
Lyz2,0,0.433660304560765
Stac3,0,0.433457569779555
Aqp9,0,0.43060455604451
Ly6c2,0,0.429957116198046
Plxdc2,0,0.428831204758188
Cd244,0,0.428518689404122
Prok2,0,0.42706793823919
S100a8,0,0.425469542732376
Klrb1c,0,0.424699040190731
Olfr1489,0,0.424699040190731
Ttc39b,0,0.423738776080147
Aldh2,0,0.423406656950764
Accsl,0,0.422445040450147
Zc3h12b,0,0.422363591182844
Gm5415,0,0.422107000548928
Hdc,0,0.420457166963056
Hmgn3,0,0.420331659689047
Axin2,0,0.420125428496958
Sh3bp5,0,0.41990510892287
Nfkbia,0,0.418838164207131
Clec4a2,0,0.418164687123279
Ly6i,0,0.417720696740489
Gzmb,0,0.416958045933537
Pdlim7,0,0.416897731032326
Irf8,0,0.41652135001835
Col4a1,0,0.41571661971439
Tcfl5,0,0.410198897126372
Scin,0,0.40996313028979
Lsp1,0,0.408237562049814
Prelp,0,0.408084952383021
F730035M05Rik,0,0.407838935542558
Samd14,0,0.407726910987976
Anxa1,0,0.407711744576862
Tnip3,0,0.407641354300633
5033403F01Rik,0,0.406530779098678
Sell,0,0.406363661458644
Eya2,0,0.405816195146245
Gm13544,0,0.405390712910482
Zfp108,0,0.405018443556482
Tmem64,0,0.404991701043183
Sept5,0,0.404964202991714
Socs1,0,0.404905536710189
Vcl,0,0.404587561542892
Shtn1,0,0.404048937918654
Slco1b2,0,0.403729555454804
Tecpr1,0,0.403536987926354
Rab37,0,0.403382550359479
Ifi203,0,0.403117732106021
Shb,0,0.402912284721773
Sepw1,0,0.402770018130455
Il12rb1,0,0.401686159604611
Sept8,0,0.40106905559895
Prr13,0,0.399468792055555
Gmpr,0,0.399378930966217
Il6ra,0,0.399363261323736
Ndst1,0,0.399106306122388
Krt81,0,0.399080899840465
Ppm1n,0,0.399080899840464
Sema4c,0,0.3987519346262
Reep1,0,0.398366884352152
Cst3,0,0.398357813323596
Fgr,0,0.39827615602036
Ak1,0,0.397302505610275
Bcl3,0,0.396535803417363
Myadm,0,0.396295432887783
Smpdl3a,0,0.396046732430382
Fhad1,0,0.395118160648118
BB365896,0,0.394985100833233
Gas5,0,0.39451661656014
Slc2a3,0,0.394490229164258
Hcn4,0,0.394047295764894
F10,0,0.39364231391587
Psd,0,0.393526379975264
Cetn4,0,0.393362557848332
S100a9,0,0.392755319488835
Gch1,0,0.392156305600357
Zfpm1,0,0.391991171160371
Gm11413,0,0.3917107299558
F7,0,0.391467949852681
Rassf4,0,0.389157440326502
Klhl6,0,0.388912748314182
Kcne1,0,0.388749671692403
Trim30a,0,0.388439539139854
Mt1,0,0.387995188626699
Cacna1h,0,0.387806004802277
Cd9,0,0.387719282290002
Gm17655,0,0.387387278530806
Akap2,0,0.386859837373817
Ttll13,0,0.386608517886393
Ctsg,0,0.385001020614325
Runx3,0,0.38347448196995
Ccr1,0,0.383126582573035
Hsh2d,0,0.382455875783636
Gm14091,0,0.382048987288059
Scx,0,0.381677126100938
Cldn11,0,0.381469005438788
Vsir,0,0.381156831705334
Gm15873,0,0.380951445860763
Cd160,0,0.380626717861864
2210010C04Rik,0,0.380247676263234
Zfp827,0,0.37998151939637
Pla2g2f,0,0.379917801386997
Id4,0,0.379917801386996
Gprasp2,0,0.379453424953501
Gnat1,0,0.377569310992943
Havcr2,0,0.37681732413524
Zdhhc15,0,0.376572503197898
Gm26544,0,0.376565723293095
Fam19a1,0,0.376166758732322
Ifi205,0,0.37568255411943
Vmn1r180,0,0.375682554119428
Serpina5,0,0.375682554119428
Olfr610,0,0.375464135012358
Vwa5a,0,0.375368475089142
Serpine1,0,0.373482148348203
Col18a1,0,0.373456255554282
Otub2,0,0.373208594506132
Sucnr1,0,0.373118594373579
Ifit2,0,0.372790276169566
Mpp4,0,0.371677132469932
Tmsb4x,0,0.371489478543397
Npr2,0,0.37020610025416
Ets1,0,0.369699741733737
Mt2,0,0.369191366418184
Adam19,0,0.368720828352965
Spesp1,0,0.368169728474281
Pirb,0,0.367799049644448
Gfral,0,0.367704477965009
Il6st,0,0.367419778711544
Misp,0,0.36695400210723
Cidea,0,0.366523824009113
Serpinb9b,0,0.365816014293367
Zfp697,0,0.365804473571743
Gem,0,0.365707435367629
Brsk2,0,0.364942574598938
Tmem86a,0,0.364805494964479
Cd93,0,0.364782438426429
Slco2b1,0,0.36454738655509
Gm12830,0,0.364443702198614
Dok7,0,0.364209936156985
Chga,0,0.363855136323705
Lif,0,0.363704064858539
Calcoco2,0,0.363653344728975
Adam8,0,0.362384868890472
Anxa11,0,0.362181533407709
G0s2,0,0.362036670552187
P2rx1,0,0.361223941742206
Prelid2,0,0.359765951278385
F2rl2,0,0.359439900687592
B230206H07Rik,0,0.35931206749666
Fam101b,0,0.359110112433022
Bmyc,0,0.3589736758184
Ctsd,0,0.358901247394696
Slc22a3,0,0.358368605885901
Pigz,0,0.358286406283091
Gm31406,0,0.358050201255995
Syne1,0,0.357990079631866
Il18rap,0,0.357868016225762
E230025N22Rik,0,0.357833872956259
Exoc3l,0,0.357758098113617
Nrp2,0,0.357142579449256
Rasd1,0,0.357103692287116
Sox5os3,0,0.356749798918266
Slc30a3,0,0.356733206525633
Insl5,0,0.356253835751437
Fcer1a,0,0.355506702571472
4930448E22Rik,0,0.355484530606822
Slc23a2,0,0.354741320297161
Osbpl5,0,0.354213669627511
Cma2,0,0.354083000161888
Lgals3,0,0.353733994601734
Pde2a,0,0.353696173587489
Card10,0,0.353267551690096
Bach2,0,0.353158982928001
Hpgd,0,0.35287253044597
4933406C10Rik,0,0.352628818385818
Vdac3-ps1,0,0.352301707687417
